city,station,element,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Saint Paul,USC00217379,TMIN,-9999,-9999,-9999,-9999,6,-17,6,-9999,-9999,-9999,-9999,-83,-122,-144,-9999,-9999,-9999,-9999,-122,-161,-128,-9999,-9999,-9999,-9999,-189,-183,-106,-9999,-9999,-9999
Saint Paul,USC00218039,TMIN,-67,-61,17,50,11,6,-28,0,-39,-33,-122,-100,-83,-117,-178,-128,-144,-139,-128,-128,-178,-144,11,-44,-122,-122,-194,-189,-100,-9999,-9999
Saint Paul,USC00218450,TMIN,-50,-39,17,44,0,-6,-9999,-9999,6,-44,-61,-106,-100,-128,-161,-139,-150,-9999,-9999,-133,-156,-144,6,-56,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Saint Paul,USC00218477,TMIN,-39,17,61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-133,-128,-144,-139,-94,-128,-156,-22,17,-67,-9999,-9999,-200,-144,-67,-9999,-9999
Saint Paul,USW00014922,TMIN,-49,6,50,28,11,-10,-16,11,-5,-43,-77,-93,-82,-132,-143,-138,-143,-132,-88,-138,-160,11,0,-93,-121,-121,-199,-143,-9999,-9999,-9999
Saint Paul,USW00014927,TMIN,-55,11,50,28,0,-16,-16,17,0,-38,-71,-88,-77,-121,-143,-127,-138,-127,-93,-149,-160,0,0,-88,-121,-116,-188,-138,-9999,-9999,-9999
Saint Paul,USW00094960,TMIN,-71,11,61,28,-10,-32,-32,17,-5,-32,-71,-99,-77,-132,-166,-127,-138,-132,-88,-155,-166,11,6,-93,-121,-121,-193,-132,-9999,-9999,-9999
Jackson,USW00003940,TMIN,22,-21,33,72,156,94,28,6,28,17,83,22,-16,-21,-43,61,-21,-38,-43,44,39,72,161,67,-10,-27,-5,-21,-9999,-9999,-9999
Jackson,USW00013927,TMIN,0,-5,44,100,161,100,33,22,44,28,72,17,-16,-27,-32,56,-16,-27,-38,39,50,94,161,83,0,-16,6,-10,-9999,-9999,-9999
Jefferson City,USC00234271,TMIN,-22,-28,39,89,44,44,-17,-6,6,6,0,-39,-78,-89,-83,-56,-83,-122,-117,-72,-72,-39,94,17,-39,-39,-22,-22,-6,67,-9999
Jefferson City,USW00003963,TMIN,-38,11,89,67,39,0,-27,0,-16,94,-5,-43,-82,-99,-77,-55,-93,-116,-60,-93,-71,83,67,0,-49,-55,-16,-21,-9999,-9999,-9999
Helana,USR0000MHEL,TMIN,-6,11,-17,17,67,50,0,-11,-100,-150,-183,-211,-206,-206,-172,-156,-172,-122,-144,-100,0,-6,-22,-22,-6,-44,-61,-67,-244,-261,-9999
Helana,USS0012C13S,TMIN,6,-22,-22,-6,22,39,-17,-17,-150,-206,-244,-278,-239,-183,-228,-122,-78,-56,-89,-33,-33,-33,-44,-50,-39,-39,39,17,-9999,-9999,-9999
Helana,USW00024144,TMIN,11,11,22,0,61,56,33,-10,-88,-143,-188,-193,-221,-182,-166,-149,-160,-116,-121,-105,0,11,-5,-5,0,-49,-71,-60,-9999,-9999,-9999
Lincoln,USC00257055,TMIN,-50,-56,-9999,-9999,-9999,-9999,-9999,-9999,17,44,-94,-117,-9999,-9999,-150,-167,-9999,-144,-9999,-117,-117,-94,0,-17,-100,-100,-100,-117,-9999,-9999,-9999
Lincoln,USW00014939,TMIN,-55,61,78,33,28,17,-5,6,44,-49,-77,-110,-121,-155,-88,-149,-138,-138,-99,-127,-77,28,22,-38,-88,-82,-110,-49,-9999,-9999,-9999
Lincoln,USW00094995,TMIN,-43,43,73,20,41,4,17,9,47,-53,-83,-109,-139,-164,-89,-152,-144,-158,-122,-131,-81,26,14,-45,-101,-69,-105,-45,-30,-9999,-9999
Lincoln,USW00094996,TMIN,-42,55,61,19,40,11,24,11,49,-57,-89,-114,-126,-146,-94,-150,-157,-163,-104,-109,-79,21,18,-58,-85,-84,-104,-28,-19,-9999,-9999
Carson City,USC00261485,TMIN,-9999,-6,-56,-33,-9999,-6,-9999,-9999,6,44,-44,-9999,-11,-9999,-9999,-9999,-9999,-100,-22,-11,-9999,-9999,-9999,-9999,-72,-39,33,-9999,-9999,-9999,-9999
Carson City,USC00262119,TMIN,-44,-61,-44,-56,-28,6,-9999,33,0,50,39,0,28,-22,-22,-9999,-78,-39,6,-33,-39,22,-72,-56,-22,6,44,28,-9999,-9999,-9999
Carson City,USC00263205,TMIN,0,-33,-33,0,22,17,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6,-56,-22,-11,50,11,-11,61,-22,-17,6,28,89,89,11,-9999,-9999
Carson City,USC00265191,TMIN,39,-22,-72,-72,-56,-9999,-17,-17,-28,-6,-61,-61,-56,-22,-56,-94,-122,-122,-83,-33,-56,-56,-72,-78,-72,-67,-44,67,33,39,-9999
